date,day_of_week,shift,weekend,expected_orders,expected_sales,required_chefs,required_servers,estimated_labor_budget
2023-01-18,Wednesday,Lunch,False,24,420.83,1,1.0,241.95
2023-01-18,Wednesday,Dinner,False,52,941.97,3,3.0,990.77
2023-01-19,Thursday,Lunch,False,27,376.1,1,1.0,241.95
2023-01-19,Thursday,Dinner,False,60,1041.17,3,4.0,1105.69
2023-01-20,Friday,Lunch,False,51,886.31,2,2.0,418.56
2023-01-20,Friday,Dinner,False,80,1474.77,4,4.0,1255.69
2023-01-21,Saturday,Lunch,True,39,609.1,1,2.0,383.9
2023-01-21,Saturday,Dinner,True,70,1292.23,3,5.0,1220.62
2023-01-22,Sunday,Lunch,True,18,367.35,1,1.0,307.28
2023-01-22,Sunday,Dinner,True,54,855.8,3,4.0,1105.69
2023-01-23,Monday,Lunch,False,29,517.45,1,1.0,241.95
2023-01-23,Monday,Dinner,False,57,1076.94,3,4.0,1105.69
2023-01-24,Tuesday,Lunch,False,25,428.39,1,1.0,241.95
2023-01-24,Tuesday,Dinner,False,65,870.86,3,4.0,1105.69
2023-01-25,Wednesday,Lunch,False,35,522.93,1,2.0,318.56
2023-01-25,Wednesday,Dinner,False,50,897.45,3,3.0,990.77
2023-01-26,Thursday,Lunch,False,28,577.39,1,1.0,241.95
2023-01-26,Thursday,Dinner,False,49,896.82,3,3.0,990.77
2023-01-27,Friday,Lunch,False,43,933.76,2,2.0,418.56
2023-01-27,Friday,Dinner,False,82,1527.65,4,4.0,1255.69
2023-01-28,Saturday,Lunch,True,57,1034.9,2,3.0,560.51
2023-01-28,Saturday,Dinner,True,84,1545.66,4,5.0,1370.62
2023-01-29,Sunday,Lunch,True,40,677.53,1,2.0,383.9
2023-01-29,Sunday,Dinner,True,62,1156.34,3,5.0,1220.62
2023-01-30,Monday,Lunch,False,28,503.14,1,1.0,241.95
2023-01-30,Monday,Dinner,False,41,906.12,3,3.0,990.77
2025-02-30,Tuesday,Lunch,False,30,600.31,1,1.0,241.95
2023-01-31,Tuesday,Dinner,False,44,827.52,3,3.0,990.77
2023-02-01,Wednesday,Lunch,False,34,524.38,1,2.0,318.56
2023-02-01,Wednesday,Dinner,False,84,1533.26,4,4.0,1255.69
2023-02-02,Thursday,Lunch,False,35,682.1,1,2.0,318.56
2023-02-02,Thursday,Dinner,False,67,1252.42,3,4.0,1105.69
2023-02-03,Friday,Lunch,False,41,615.62,1,2.0,318.56
2023-02-03,Friday,Dinner,False,91,1509.11,4,5.0,1370.62
2023-02-04,Saturday,Lunch,True,55,851.58,2,2.0,483.9
2023-02-04,Saturday,Dinner,True,82,1717.27,4,5.0,1370.62
2023-02-05,Sunday,Lunch,True,43,864.17,2,2.0,483.9
2023-02-05,Sunday,Dinner,True,49,916.81,3,4.0,1105.69
2023-02-06,Monday,Lunch,False,22,359.98,1,1.0,241.95
2023-02-06,Monday,Dinner,False,46,848.43,3,3.0,990.77
2023-02-07,Tuesday,Lunch,False,26,578.57,1,1.0,241.95
2023-02-07,Tuesday,Dinner,False,59,1016.68,3,4.0,1105.69
2023-02-08,Wednesday,Lunch,False,20,428.97,1,1.0,241.95
2023-02-08,Wednesday,Dinner,False,68,1280.44,3,4.0,1105.69
2023-02-09,Thursday,Lunch,False,30,639.1,1,1.0,241.95
2023-02-09,Thursday,Dinner,False,68,1202.28,3,4.0,1105.69
2023-02-10,Friday,Lunch,False,55,1127.77,2,2.0,418.56
2023-02-10,Friday,Dinner,False,83,1454.66,4,4.0,1255.69
2023-02-11,Saturday,Lunch,True,59,999.78,2,3.0,560.51
2023-02-11,Saturday,Dinner,True,71,1225.09,4,5.0,1370.62
2023-02-12,Sunday,Lunch,True,28,575.89,1,1.0,307.28
2023-02-12,Sunday,Dinner,True,63,1023.31,3,5.0,1220.62
2023-02-13,Monday,Lunch,False,27,433.96,1,1.0,241.95
2023-02-13,Monday,Dinner,False,42,798.43,3,3.0,990.77
2023-02-14,Tuesday,Lunch,False,33,547.44,1,2.0,318.56
2023-02-14,Tuesday,Dinner,False,97,1744.69,4,5.0,1370.62
2023-02-15,Wednesday,Lunch,False,41,743.68,1,2.0,318.56
2023-02-15,Wednesday,Dinner,False,76,1505.92,4,4.0,1255.69
2023-02-16,Thursday,Lunch,False,29,557.18,1,1.0,241.95
2023-02-16,Thursday,Dinner,False,66,984.2,3,4.0,1105.69
2023-02-17,Friday,Lunch,False,43,629.27,2,2.0,418.56
2023-02-17,Friday,Dinner,False,90,1412.19,4,5.0,1370.62
2023-02-18,Saturday,Lunch,True,48,719.86,2,2.0,483.9
2023-02-18,Saturday,Dinner,True,77,1651.14,4,5.0,1370.62
2023-02-19,Sunday,Lunch,True,36,635.34,1,2.0,383.9
2023-02-19,Sunday,Dinner,True,53,1048.51,3,4.0,1105.69
2023-02-20,Monday,Lunch,False,34,669.45,1,2.0,318.56
2023-02-20,Monday,Dinner,False,61,973.16,3,4.0,1105.69
2023-02-21,Tuesday,Lunch,False,28,498.14,1,1.0,241.95
2023-02-21,Tuesday,Dinner,False,46,945.65,3,3.0,990.77
2023-02-22,Wednesday,Lunch,False,42,744.51,1,2.0,318.56
2023-02-22,Wednesday,Dinner,False,48,907.25,3,3.0,990.77
2023-02-23,Thursday,Lunch,False,49,934.16,2,2.0,418.56
2023-02-23,Thursday,Dinner,False,51,795.25,3,3.0,990.77
2023-02-24,Friday,Lunch,False,41,680.71,1,2.0,318.56
2023-02-24,Friday,Dinner,False,82,1616.62,4,4.0,1255.69
2023-02-25,Saturday,Lunch,True,42,747.09,1,2.0,383.9
2023-02-25,Saturday,Dinner,True,90,2249.77,5,6.0,1635.54
2023-02-26,Sunday,Lunch,True,51,907.02,2,2.0,483.9
2023-02-26,Sunday,Dinner,True,53,828.28,3,4.0,1105.69
2023-02-27,Monday,Lunch,False,30,642.02,1,1.0,241.95
2023-02-27,Monday,Dinner,False,74,1439.19,4,4.0,1255.69
2023-02-28,Tuesday,Lunch,False,40,761.99,1,2.0,318.56
2023-02-28,Tuesday,Dinner,False,43,815.32,3,3.0,990.77
2023-03-01,Wednesday,Lunch,False,38,852.4,1,2.0,318.56
2023-03-01,Wednesday,Dinner,False,64,1140.28,3,4.0,1105.69
2023-03-02,Thursday,Lunch,False,47,888.78,2,2.0,418.56
2023-03-02,Thursday,Dinner,False,70,,3,4.0,1105.69
2023-03-03,Friday,Lunch,False,48,1000.16,2,2.0,418.56
2023-03-03,Friday,Dinner,False,92,1390.76,4,5.0,1370.62
2023-03-04,Saturday,Lunch,True,58,888.47,2,3.0,560.51
2023-03-04,Saturday,Dinner,True,148,2617.82,5,8.0,1865.38
2023-03-05,Sunday,Lunch,True,43,703.24,2,2.0,483.9
2023-03-05,Sunday,Dinner,True,56,918.26,3,5.0,1220.62
2023-03-06,Monday,Lunch,False,28,514.1,1,1.0,241.95
2023-03-06,Monday,Dinner,False,69,1226.42,3,4.0,1105.69
2023-03-07,Tuesday,Lunch,False,23,544.63,1,1.0,241.95
2023-03-07,Tuesday,Dinner,False,72,1276.06,4,4.0,1255.69
2023-03-08,Wednesday,Lunch,False,38,689.1,1,2.0,318.56
2023-03-08,Wednesday,Dinner,False,71,1116.61,4,4.0,1255.69
2023-03-09,Thursday,Lunch,False,41,662.38,1,2.0,318.56
2023-03-09,Thursday,Dinner,False,77,1592.01,4,4.0,1255.69
2023-03-10,Friday,Lunch,False,88,1374.85,4,4.0,771.79
2023-03-10,Friday,Dinner,False,161,2490.4,5,7.0,1750.46
2023-03-11,Saturday,Lunch,True,60,1036.67,2,3.0,560.51
2023-03-11,Saturday,Dinner,True,106,1983.43,5,6.0,1635.54
2023-03-12,Sunday,Lunch,True,41,620.79,1,2.0,383.9
2023-03-12,Sunday,Dinner,True,67,1329.08,3,5.0,1220.62
2023-03-13,Monday,Lunch,False,40,718.74,1,2.0,318.56
2023-03-13,Monday,Dinner,False,51,1081.08,3,3.0,990.77
2023-03-14,Tuesday,Lunch,False,29,528.61,1,1.0,241.95
2023-03-14,Tuesday,Dinner,False,42,931.93,3,3.0,990.77
2023-03-15,Wednesday,Lunch,False,26,491.7,1,1.0,241.95
2023-03-15,Wednesday,Dinner,False,76,1329.61,4,4.0,1255.69
2023-03-16,Thursday,Lunch,False,36,806.56,1,2.0,318.56
2023-03-16,Thursday,Dinner,False,56,881.41,3,4.0,1105.69
2023-03-17,Friday,Lunch,False,44,824.31,2,2.0,418.56
2023-03-17,Friday,Dinner,False,112,1941.43,5,5.0,1520.62
2023-03-18,Saturday,Lunch,True,70,1287.11,3,3.0,660.51
2023-03-18,Saturday,Dinner,True,90,1662.61,4,6.0,1485.54
2023-03-19,Sunday,Lunch,True,51,1006.83,2,2.0,483.9
2023-03-19,Sunday,Dinner,True,68,1246.18,3,5.0,1220.62
2023-03-20,Monday,Lunch,False,28,509.89,1,1.0,241.95
2023-03-20,Monday,Dinner,False,48,865.87,3,3.0,990.77
2023-03-21,Tuesday,Lunch,False,36,760.55,1,2.0,318.56
2023-03-21,Tuesday,Dinner,False,67,1152.05,3,4.0,1105.69
2023-03-22,Wednesday,Lunch,False,28,535.78,1,1.0,241.95
2023-03-22,Wednesday,Dinner,False,67,884.8,3,4.0,1105.69
2023-03-23,Thursday,Lunch,False,39,830.02,1,2.0,318.56
2023-03-23,Thursday,Dinner,False,65,1124.26,3,4.0,1105.69
2023-03-24,Friday,Lunch,False,40,742.54,1,2.0,318.56
2023-03-24,Friday,Dinner,False,84,1570.27,4,4.0,1255.69
2023-03-25,Saturday,Lunch,True,42,948.79,1,2.0,383.9
2023-03-25,Saturday,Dinner,True,90,1291.13,4,6.0,1485.54
2023-03-26,Sunday,Lunch,True,41,827.2,1,2.0,383.9
2023-03-26,Sunday,Dinner,True,90,1824.16,4,6.0,1485.54
2023-03-27,Monday,Lunch,False,26,358.72,1,1.0,241.95
2023-03-27,Monday,Dinner,False,58,1047.78,3,4.0,1105.69
2023-03-28,Tuesday,Lunch,False,25,490.49,1,1.0,241.95
2023-03-28,Tuesday,Dinner,False,51,920.05,3,3.0,990.77
2023-03-29,Wednesday,Lunch,False,33,679.9,1,2.0,318.56
2023-03-29,Wednesday,Dinner,False,47,905.19,3,3.0,990.77
2023-03-30,Thursday,Lunch,False,49,915.35,2,2.0,418.56
2023-03-30,Thursday,Dinner,False,80,1427.53,4,4.0,1255.69
2023-03-31,Friday,Lunch,False,71,1166.09,2,3.0,495.18
2023-03-31,Friday,Dinner,False,105,1648.08,4,5.0,1370.62
2023-04-01,Saturday,Lunch,True,76,1197.7,4,3.0,760.51
2023-04-01,Saturday,Dinner,True,108,1998.58,5,6.0,1635.54
2023-04-02,Sunday,Lunch,True,48,881.82,2,2.0,483.9
2023-04-02,Sunday,Dinner,True,84,1400.85,4,5.0,1370.62
2023-04-03,Monday,Lunch,False,34,700.8,1,2.0,318.56
2023-04-03,Monday,Dinner,False,68,1241.92,3,4.0,1105.69
2023-04-04,Tuesday,Lunch,False,37,660.29,1,2.0,318.56
2023-04-04,Tuesday,Dinner,False,74,1102.82,4,4.0,1255.69
2023-04-05,Wednesday,Lunch,False,36,635.19,1,2.0,318.56
2023-04-05,Wednesday,Dinner,False,81,1615.16,4,4.0,1255.69
2023-04-06,Thursday,Lunch,False,46,767.09,2,2.0,418.56
2023-04-06,Thursday,Dinner,False,104,1807.34,4,5.0,1370.62
2023-04-07,Friday,Lunch,False,71,1206.01,2,3.0,495.18
2023-04-07,Friday,Dinner,False,124,2072.15,5,6.0,1635.54
2023-04-08,Saturday,Lunch,True,65,1177.12,2,3.0,560.51
2023-04-08,Saturday,Dinner,True,120,1990.99,5,7.0,1750.46
2023-04-09,Sunday,Lunch,True,48,895.79,2,2.0,483.9
2023-04-09,Sunday,Dinner,True,71,1305.74,4,5.0,1370.62
2023-04-10,Monday,Lunch,False,25,410.36,1,1.0,241.95
2023-04-10,Monday,Dinner,False,66,1223.02,3,4.0,1105.69
2023-04-11,Tuesday,Lunch,False,28,619.84,1,1.0,241.95
2023-04-11,Tuesday,Dinner,False,66,1099.17,3,4.0,1105.69
2023-04-12,Wednesday,Lunch,False,58,1077.12,2,3.0,495.18
2023-04-12,Wednesday,Dinner,False,74,1453.99,4,4.0,1255.69
2023-04-13,Thursday,Lunch,False,32,719.63,1,2.0,318.56
2023-04-13,Thursday,Dinner,False,67,960.7,3,4.0,1105.69
2023-04-14,Friday,Lunch,False,87,1581.98,4,4.0,771.79
2023-04-14,Friday,Dinner,False,129,2005.76,5,6.0,1635.54
2023-04-15,Saturday,Lunch,True,51,832.34,2,2.0,483.9
2023-04-15,Saturday,Dinner,True,130,1937.07,5,7.0,1750.46
2023-04-16,Sunday,Lunch,True,45,728.38,2,2.0,483.9
2023-04-16,Sunday,Dinner,True,65,1145.38,3,5.0,1220.62
2023-04-17,Monday,Lunch,False,29,578.33,1,1.0,241.95
2023-04-17,Monday,Dinner,False,48,859.04,3,3.0,990.77
2023-04-18,Tuesday,Lunch,False,31,427.21,1,2.0,318.56
2023-04-18,Tuesday,Dinner,False,63,1073.23,3,4.0,1105.69
2023-04-19,Wednesday,Lunch,no,33,668.26,1,2.0,318.56
2023-04-19,Wednesday,Dinner,False,52,879.86,3,3.0,990.77
2023-04-20,Thursday,Lunch,False,56,1024.92,2,3.0,495.18
2023-04-20,Thursday,Dinner,False,97,2115.43,5,5.0,1520.62
2023-04-21,Friday,Lunch,False,44,917.61,2,2.0,418.56
2023-04-21,Friday,Dinner,False,111,1772.3,5,5.0,1520.62
2023-04-22,Saturday,Lunch,True,42,799.95,1,2.0,383.9
2023-04-22,Saturday,Dinner,True,119,2038.75,5,7.0,1750.46
2023-04-23,Sunday,Lunch,True,52,952.57,2,2.0,483.9
2023-04-23,Sunday,Dinner,True,58,1160.01,3,5.0,1220.62
2023-04-24,Monday,Lunch,False,36,641.27,1,2.0,318.56
2023-04-24,Monday,Dinner,False,77,1290.47,4,4.0,1255.69
2023-04-25,Tuesday,Lunch,False,29,451.35,1,1.0,241.95
2023-04-25,Tuesday,Dinner,False,60,1248.49,3,4.0,1105.69
2023-04-26,Wednesday,Lunch,False,43,676.87,2,2.0,418.56
2023-04-26,Wednesday,Dinner,False,68,1225.31,3,,1105.69
2023-04-27,Thursday,Lunch,False,45,1017.67,2,2.0,418.56
2023-04-27,Thursday,Dinner,False,67,1347.51,3,4.0,1105.69
2023-04-28,Friday,Lunch,False,76,1408.0,4,,695.18
2023-04-28,Friday,Dinner,False,100,1867.99,4,5.0,1370.62
2023-04-29,Saturday,Lunch,True,72,1288.03,3,3.0,660.51
2023-04-29,Saturday,Dinner,True,83,1730.56,4,5.0,1370.62
2023-04-30,Sunday,Lunch,True,42,699.23,1,2.0,383.9
2023-04-30,Sunday,Dinner,True,66,1132.31,3,5.0,1220.62
2023-05-01,Monday,Lunch,False,17,260.14,1,1.0,241.95
2023-05-01,Monday,Dinner,False,50,932.84,3,3.0,990.77
2023-05-02,Tuesday,Lunch,False,27,544.57,1,1.0,241.95
2023-05-02,Tuesday,Dinner,False,63,1221.89,3,4.0,1105.69
2023-05-03,Wednesday,Lunch,False,65,870.39,2,3.0,495.18
2023-05-03,Wednesday,Dinner,False,66,1226.69,3,4.0,1105.69
2023-05-04,Thursday,Lunch,False,60,1276.29,2,3.0,495.18
2023-05-04,Thursday,Dinner,False,97,1769.64,4,5.0,1370.62
2023-05-05,Friday,Lunch,False,63,1076.01,2,3.0,495.18
2023-05-05,Friday,Dinner,False,128,2068.11,5,6.0,1635.54
2023-05-06,Saturday,Lunch,True,75,1333.95,3,3.0,660.51
2023-05-06,Saturday,Dinner,True,135,2477.94,5,7.0,1750.46
2023-05-07,Sunday,Lunch,True,-10,1009.94,2,2.0,483.9
2023-05-07,Sunday,Dinner,True,104,1453.22,4,6.0,1485.54
2023-05-08,Monday,DINNER,False,-1,611.53,2,2.0,418.56
2023-05-08,Monday,Dinner,False,85,1625.9,4,4.0,1255.69
2023-05-09,Tuesday,Lunch,False,34,514.07,1,2.0,318.56
2023-05-09,Tuesday,Dinner,False,67,1399.34,3,4.0,1105.69
2023-05-10,Wednesday,Lunch,False,48,895.12,2,2.0,418.56
2023-05-10,Wednesday,Dinner,False,86,1726.38,4,,1370.62
2023-05-11,Thursday,Lunch,False,38,594.84,1,2.0,318.56
2023-05-11,Thursday,Dinner,False,90,1344.89,4,5.0,1370.62
2023-05-12,Friday,Lunch,False,46,730.9,2,2.0,418.56
2023-05-12,Friday,Dinner,False,108,1796.31,5,5.0,1520.62
2023-05-13,Saturday,Lunch,True,36,832.65,1,2.0,383.9
2023-05-13,Saturday,Dinner,True,73,1504.23,4,5.0,1370.62
2023-05-14,Sunday,Lunch,True,54,1088.84,2,2.0,483.9
2023-05-14,Sunday,Dinner,True,110,1665.79,5,6.0,1635.54
2023-05-15,Monday,Lunch,False,29,504.41,1,1.0,241.95
2023-05-15,Monday,Dinner,False,66,962.94,3,4.0,1105.69
2023-05-16,Tuesday,Lunch,False,30,518.46,1,1.0,241.95
2023-05-16,Tuesday,Dinner,False,75,1233.79,4,4.0,1255.69
2023-05-17,Wednesday,Lunch,False,50,803.3,2,2.0,418.56
2023-05-17,Wednesday,Dinner,False,100,1538.59,4,5.0,1370.62
2023-05-18,Thursday,Lunch,False,46,916.54,2,2.0,418.56
2023-05-18,Thursday,Dinner,False,72,1205.73,4,4.0,1255.69
2023-05-19,Friday,Lunch,False,42,0.0,1,2.0,318.56
2023-05-19,Friday,Dinner,False,116,1833.85,5,6.0,1635.54
2023-05-20,Saturday,Lunch,True,86,1556.1,4,4.0,837.13
2023-05-20,Saturday,Dinner,True,160,2768.42,5,8.0,1865.38
2023-05-21,Sunday,Lunch,True,59,1090.18,2,3.0,560.51
2023-05-21,Sunday,Dinner,True,66,1112.55,3,5.0,1220.62
2023-05-22,Monday,Lunch,False,28,406.21,1,1.0,241.95
2023-05-22,Monday,Dinner,False,50,1069.95,3,3.0,990.77
2023-05-23,Tuesday,Lunch,False,33,651.31,1,2.0,318.56
2023-05-23,Tuesday,Dinner,False,76,1370.36,4,4.0,1255.69
2023-05-24,Wednesday,Lunch,False,49,759.54,2,2.0,418.56
2023-05-24,Wednesday,Dinner,False,89,1741.08,4,5.0,1370.62
2023-05-25,Thursday,Lunch,False,61,1031.69,2,3.0,495.18
2023-05-25,Thursday,Dinner,False,79,1577.67,4,4.0,1255.69
2023-05-26,Friday,Lunch,False,73,1186.7,3,3.0,595.18
2023-05-26,Friday,Dinner,False,133,2077.91,5,6.0,1635.54
2023-05-27,Saturday,Lunch,True,54,1189.62,2,2.0,483.9
2023-05-27,Saturday,Dinner,True,132,2178.88,5,7.0,1750.46
2023-05-28,Sunday,Lunch,True,57,1126.57,2,3.0,560.51
2023-05-28,Sunday,Dinner,True,98,1752.27,4,6.0,1485.54
2023-05-29,Monday,Lunch,False,47,984.35,2,2.0,418.56
2023-05-29,Monday,Dinner,False,76,1321.18,4,4.0,1255.69
2023-05-30,Tuesday,Lunch,False,35,807.88,1,2.0,318.56
2023-05-30,Tuesday,Dinner,False,61,,3,4.0,1105.69
2023-05-31,Wednesday,Lunch,False,22,335.1,1,1.0,241.95
2023-05-31,Wednesday,Dinner,False,74,1176.65,4,4.0,1255.69
2023-06-01,Thursday,Lunch,False,51,1022.39,2,2.0,418.56
2023-06-01,Thursday,Dinner,False,104,1899.79,5,5.0,1520.62
2023-06-02,Friday,Lunch,False,75,1725.98,3,3.0,595.18
2023-06-02,Friday,Dinner,False,141,2219.03,5,6.0,1635.54
2023-06-03,Saturday,Lunch,True,65,1248.25,2,3.0,560.51
2023-06-03,Saturday,Dinner,True,140,2515.81,5,7.0,1750.46
2023-06-04,Sunday,Lunch,True,47,933.69,2,2.0,483.9
2023-06-04,Sunday,Dinner,True,68,995.94,3,5.0,1220.62
2023-06-05,Monday,Lunch,False,30,659.4,1,1.0,241.95
2023-06-05,Monday,Dinner,False,87,1716.59,4,5.0,1370.62
2023-06-06,Tuesday,Lunch,False,63,1053.2,2,3.0,495.18
2023-06-06,Tuesday,Dinner,False,84,1542.86,4,4.0,1255.69
2023-06-07,Wednesday,Lunch,False,54,1027.45,2,2.0,418.56
2023-06-07,Wednesday,Dinner,False,72,1348.44,4,4.0,1255.69
2023-06-08,Thursday,Lunch,False,43,748.15,2,2.0,418.56
2023-06-08,Thursday,Dinner,False,77,1661.92,4,4.0,1255.69
2023-06-09,Friday,Lunch,False,78,1477.11,4,3.0,695.18
2023-06-09,Friday,Dinner,False,122,2078.04,5,6.0,1635.54
2023-06-10,Saturday,Lunch,True,89,1532.26,4,4.0,837.13
2023-06-10,Saturday,Dinner,True,118,2176.16,5,7.0,1750.46
2023-06-11,Sunday,Lunch,True,68,1114.41,2,3.0,560.51
2023-06-11,Sunday,Dinner,True,110,1876.62,5,6.0,1635.54
2023-06-12,Monday,Lunch,False,33,581.69,1,2.0,318.56
2023-06-12,Monday,Dinner,False,59,936.81,3,4.0,1105.69
2023-06-13,Tuesday,Lunch,False,35,662.52,1,2.0,318.56
2023-06-13,Tuesday,Dinner,False,49,921.34,3,3.0,990.77
2023-06-14,Wednesday,Lunch,False,65,1064.92,2,3.0,495.18
2023-06-14,Wednesday,Dinner,False,101,1721.95,4,5.0,1370.62
2023-06-15,Thursday,Lunch,False,69,1178.3,3,3.0,595.18
2023-06-15,Thursday,Dinner,False,116,2433.68,5,6.0,1635.54
2023-06-16,Friday,Lunch,False,83,1355.53,4,3.0,695.18
2023-06-16,Friday,Dinner,False,116,2003.28,5,6.0,1635.54
2023-06-17,Saturday,Lunch,True,69,1484.93,3,3.0,660.51
2023-06-17,Saturday,Dinner,True,142,2558.36,5,7.0,1750.46
2023-06-18,Sunday,Lunch,True,62,1176.2,2,3.0,560.51
2023-06-18,Sunday,Dinner,True,97,2002.92,4,6.0,1485.54
2023-06-19,Monday,Lunch,False,33,530.44,1,2.0,318.56
2023-06-19,Monday,Dinner,False,87,1362.3,4,5.0,1370.62
2023-06-20,Tuesday,Lunch,False,38,777.49,1,2.0,318.56
2023-06-20,Tuesday,Dinner,False,69,1137.96,3,4.0,1105.69
2023-06-21,Wednesday,Lunch,False,45,681.06,2,2.0,418.56
2023-06-21,Wednesday,Dinner,False,92,1566.57,4,5.0,1370.62
2023-06-22,Thursday,Lunch,False,56,1141.24,2,3.0,495.18
2023-06-22,Thursday,Dinner,False,111,2236.43,5,5.0,1520.62
2023-06-23,Friday,Lunch,False,87,1462.16,4,4.0,771.79
2023-06-23,Friday,Dinner,False,123,2045.37,5,6.0,1635.54
2023-06-24,Saturday,Lunch,True,101,1508.08,4,4.0,837.13
2023-06-24,Saturday,Dinner,True,181,3142.52,5,8.0,1865.38
2023-06-25,Sunday,Lunch,True,45,964.12,2,2.0,483.9
2023-06-25,Sunday,Dinner,True,54,1119.84,3,4.0,1105.69
2023-06-26,Monday,Lunch,False,38,740.39,1,2.0,318.56
2023-06-26,Monday,Dinner,False,70,1387.49,3,4.0,1105.69
2023-06-27,Tuesday,Lunch,False,39,608.3,1,2.0,318.56
2023-06-27,Tuesday,Dinner,False,83,1426.38,4,4.0,1255.69
2023-06-28,Wednesday,Lunch,False,37,632.84,1,2.0,318.56
2023-06-28,Wednesday,Dinner,False,86,1381.26,4,5.0,1370.62
2023-06-29,Thursday,Lunch,False,37,755.17,1,2.0,318.56
2023-06-29,Thursday,Dinner,False,99,1573.83,4,5.0,1370.62
2023-06-30,Friday,Lunch,False,85,1518.87,4,3.0,695.18
2023-06-30,Friday,Dinner,False,150,2123.69,5,7.0,1750.46
2023-07-01,Saturday,Lunch,True,82,1894.26,4,3.0,760.51
2023-07-01,Saturday,Dinner,True,185,3699.53,5,8.0,1865.38
2023-07-02,Sunday,Lunch,True,49,803.44,2,2.0,483.9
2023-07-02,Sunday,Dinner,True,115,2340.73,5,6.0,1635.54
2023-07-03,Monday,Lunch,False,54,881.83,2,2.0,418.56
2023-07-03,Monday,Dinner,False,96,1654.73,4,5.0,1370.62
2023-07-04,Tuesday,Lunch,False,48,897.11,2,2.0,418.56
2023-07-04,Tuesday,Dinner,False,98,1693.31,4,5.0,1370.62
2023-07-05,Wednesday,Lunch,False,44,907.77,2,2.0,418.56
2023-07-05,Wednesday,Dinner,False,92,1747.74,4,5.0,1370.62
2023-07-06,Thursday,Lunch,False,46,884.67,2,2.0,418.56
2023-07-06,Thursday,Dinner,False,85,1499.04,4,4.0,1255.69
2023-07-07,Friday,Lunch,False,78,1482.47,4,3.0,695.18
2023-07-07,Friday,Dinner,False,138,2138.17,5,6.0,1635.54
2023-07-08,Saturday,Lunch,True,115,2306.0,4,4.0,837.13
2023-07-08,Saturday,Dinner,True,161,2931.19,5,8.0,1865.38
2023-07-09,Sunday,Lunch,True,52,892.81,2,2.0,483.9
2023-07-09,Sunday,Dinner,True,111,1613.43,5,6.0,1635.54
2023-07-10,Monday,Lunch,False,58,935.7,2,3.0,495.18
2023-07-10,Monday,Dinner,False,81,1594.59,4,4.0,1255.69
2023-07-11,Tuesday,Lunch,False,36,777.56,1,2.0,318.56
2023-07-11,Tuesday,Dinner,False,84,1409.81,4,4.0,1255.69
2023-07-12,Wednesday,Lunch,1,9999,1050.36,2,2.0,418.56
2023-07-12,Wednesday,Dinner,False,75,1152.41,4,4.0,1255.69
2023-07-13,Thursday,Lunch,False,44,902.1,2,2.0,418.56
